DD/MM/YYYY,Time,Hours,Month,Season,Temp Out,Hi Temp,Low Temp,Out Hum,Dew Pt.,Wind Speed,Wind Dir,Wind Run,Hi Speed,Hi Dir,Wind Chill,Heat Index,THW Index,THSW Index,Bar  ,Rain,Rain Rate,Solar Rad.,Solar Energy,Hi Solar Rad.,UV  Index,UV Dose,Hi  UV,Heat D-D,Cool D-D,In Temp,In Hum,In Dew,In Heat,In EMC,In Air Density,ET ,Wind Samp,Wind Tx,ISS  Recept,Arc. Int.
13/05/2016,00:00:00,24,May-16,Summer-2016,23.97,23.97,23.88,93.17,22.8,0,,0,0,,23.97,25.95,25.95,,1005.23,0,0,0,0,0,0,0,0,0,0.12,28.7,57,19.32,30.22,10.22,1.13,0,1403,1,100,60
13/05/2016,01:00:00,1,May-16,Summer-2016,24.68,24.73,24.62,90.33,23.02,0.13,,0.09,0.97,,24.68,26.77,26.77,,1004.88,0,0,0,0,0,0,0,0,0,0.13,28.7,58,19.6,30.4,10.35,1.13,0,1400,1,100,60
13/05/2016,02:00:00,2,May-16,Summer-2016,24.73,24.83,24.6,91,23.17,0.43,,0.27,1.78,,24.73,26.88,26.88,,1005.02,0,0,0,0,0,0,0,0,0,0.13,28.8,58.5,19.85,30.55,10.45,1.13,0,1404,1,100,60
13/05/2016,03:00:00,3,May-16,Summer-2016,24.57,24.65,24.57,90,22.82,0.4,,0.27,1.55,,24.57,26.57,26.57,,1004.47,0,0,0,0,0,0,0,0,0,0.13,28.8,59,20,30.6,10.55,1.13,0,1400,1,100,60
13/05/2016,04:00:00,4,May-16,Summer-2016,24.33,24.35,24.32,89.67,22.53,0.27,,0.18,1.32,,24.33,26.28,26.28,,1004.52,0,0,0,0,0,0,0,0,0,0.13,28.8,59.17,20.03,30.62,10.58,1.13,0,1401,1,100,60
13/05/2016,05:00:00,5,May-16,Summer-2016,24.53,24.6,24.52,88.17,22.4,0.2,,0.14,1.02,,24.53,26.42,26.42,,1005.12,2.8,11.23,0,0,0,0,0,0,0,0.13,28.8,60,20.25,30.75,10.75,1.13,0.01,1402,1,100,60
13/05/2016,06:00:00,6,May-16,Summer-2016,23.7,23.8,23.68,94.17,22.68,0,,0,0.07,,23.7,25.55,25.55,,1005.17,0,0.17,7,0.2,9.83,0,0,0,0,0.11,28.8,60,20.22,30.72,10.75,1.13,0,1401,1,100,60
13/05/2016,07:00:00,7,May-16,Summer-2016,24.25,24.25,24.02,94,23.2,0,,0,0,,24.25,26.35,26.35,,1005.88,0,0,89,2.55,100,0.32,0.02,0.42,0,0.12,28.8,60,20.23,30.73,10.75,1.13,0.02,1401,1,100,60
13/05/2016,08:00:00,8,May-16,Summer-2016,26.25,26.28,25.88,87.33,23.97,0.2,,0.14,1.02,,26.25,29.28,29.28,,1006.75,0,0,203.67,5.84,258.33,1.17,0.06,1.33,0,0.17,28.8,60.67,20.47,30.9,10.88,1.13,0.04,1401,1,100,60
13/05/2016,09:00:00,9,May-16,Summer-2016,27.33,27.37,27.12,80.67,23.72,0.28,,0.18,1.32,,27.33,30.7,30.7,,1007.15,0,0,237.67,6.82,294.83,1.72,0.09,1.93,0,0.19,28.8,61,20.6,31,10.95,1.13,0.05,1402,1,100,60
13/05/2016,10:00:00,10,May-16,Summer-2016,29.45,29.45,29.07,76.67,24.93,0.65,,0.41,2,,29.45,35.32,35.32,,1006.65,0,0,540.17,15.49,620.17,4.25,0.23,4.55,0,0.23,28.83,60.67,20.5,30.97,10.88,1.13,0.13,1400,1,100,60
13/05/2016,11:00:00,11,May-16,Summer-2016,31.1,31.17,30.8,72.83,25.65,0.82,,0.5,2.23,,31.1,38.47,38.47,,1006.58,0,0,639.83,18.34,784.5,5.4,0.29,6.1,0,0.27,28.9,60.5,20.45,31,10.85,1.13,0.14,1401,1,100,60
13/05/2016,12:00:00,12,May-16,Summer-2016,31.58,31.72,31.43,74.33,26.47,0.65,,0.41,2.3,,31.58,40.23,40.23,,1005.92,0,0,290.67,8.33,423,2.77,0.15,3.7,0,0.28,28.9,61,20.7,31.2,10.95,1.13,0.07,1402,1,100,60
13/05/2016,13:00:00,13,May-16,Summer-2016,31.92,32.58,31.68,73.33,26.52,0.63,,0.4,3.35,,31.92,41.73,41.73,,1004.02,2,6.17,332.33,9.53,396.33,2.8,0.15,3.78,0,0.28,28.92,61.17,20.75,31.25,10.97,1.13,0.08,1310,1,95.12,60
13/05/2016,14:00:00,14,May-16,Summer-2016,25.13,25.95,25.1,86,22.62,0.87,,0.54,2.83,,25.13,27.2,27.2,,1005.13,6.4,40.27,10.83,0.31,15.17,0,0,0,0,0.14,28.9,62,20.9,31.4,11.07,1.13,0.01,1340,1,97.6,60
13/05/2016,15:00:00,15,May-16,Summer-2016,23.6,23.9,23.55,90.67,21.97,0.8,,0.49,3.13,,23.6,25.27,25.27,,1005.95,13,58.73,2.67,0.08,4.83,0,0,0,0,0.11,28.85,63,21.1,31.35,11.27,1.13,0,1401,1,100,60
13/05/2016,16:00:00,16,May-16,Summer-2016,23.43,23.43,23.25,93.33,22.3,0.33,,0.23,1.55,,23.43,25.13,25.13,,1004.22,0,0,26.17,0.75,34,0,0,0,0,0.11,28.8,63,21.07,31.27,11.27,1.13,0.01,1401,1,100,60
13/05/2016,17:00:00,17,May-16,Summer-2016,24.03,24.05,23.9,90.67,22.43,0.33,,0.23,1.4,,24.03,25.93,25.93,,1004.32,0,0,126.5,3.63,145.5,0.55,0.03,0.62,0,0.12,28.8,63,21.02,31.22,11.27,1.13,0.03,1400,1,100,60
13/05/2016,18:00:00,18,May-16,Summer-2016,24.43,24.48,24.4,89,22.52,0.57,,0.36,1.93,,24.43,26.33,26.33,,1004.12,0,0,95.67,2.75,106,0.17,0.01,0.22,0,0.13,28.8,63,21,31.2,11.27,1.13,0.03,1401,1,100,60
13/05/2016,19:00:00,19,May-16,Summer-2016,24.75,24.78,24.67,85.5,22.13,0.65,,0.41,2.53,,24.75,26.63,26.63,,1005.17,0,0,13,0.37,18.83,0,0,0,0,0.13,28.75,63,21,31.15,11.28,1.13,0.01,1402,1,100,60
13/05/2016,20:00:00,20,May-16,Summer-2016,24.52,24.58,24.47,82.67,21.4,0.65,,0.41,2.53,,24.52,26.28,26.28,,1005.28,0,0,0,0,0,0,0,0,0,0.13,28.7,63,21,31.1,11.28,1.13,0.01,1399,1,100,60
13/05/2016,21:00:00,21,May-16,Summer-2016,24.43,24.53,24.4,84,21.55,0.35,,0.23,1.57,,24.43,26.17,26.17,,1005.53,0,0,0,0,0,0,0,0,0,0.13,28.7,62.17,20.75,30.92,11.11,1.13,0.01,1401,1,100,60
13/05/2016,22:00:00,22,May-16,Summer-2016,23.68,23.77,23.68,87,21.38,0.33,,0.23,1.55,,23.68,25.23,25.23,,1006.13,0,0,0,0,0,0,0,0,0,0.11,28.7,62,20.7,30.83,11.08,1.13,0.01,1400,1,100,60
13/05/2016,23:00:00,23,May-16,Summer-2016,23.53,23.57,23.45,87.83,21.4,0.27,,0.18,1.25,,23.53,24.97,24.97,,1006.83,0,0,0,0,0,0,0,0,0,0.11,28.67,62,20.67,30.77,11.08,1.13,0.01,1402,1,100,60
14/05/2016,00:00:00,24,May-16,Summer-2016,23.78,23.8,23.63,88.17,21.68,0.43,,0.27,1.5,,23.78,25.43,25.43,,1008.4,0.2,0,0,0,0,0,0,0,0,0.11,28.6,62,20.6,30.7,11.08,1.14,0.01,1404,1,100,60
14/05/2016,01:00:00,1,May-16,Summer-2016,23.62,23.8,23.6,92.5,22.33,0.67,,0.41,2.3,,23.62,25.38,25.38,,1007.75,4.6,26.43,0,0,0,0,0,0,0,0.11,28.6,62.83,20.8,30.73,11.25,1.14,0,1399,1,100,60
14/05/2016,02:00:00,2,May-16,Summer-2016,23.65,23.67,23.55,92.67,22.38,0.95,,0.58,4.62,,23.65,25.45,25.45,,1004.75,0.2,0.3,0,0,0,0,0,0,0,0.11,28.6,63,20.8,30.7,11.28,1.13,0,1403,1,100,60
14/05/2016,03:00:00,3,May-16,Summer-2016,23.57,23.63,23.57,93.33,22.43,0.28,,0.18,1.12,,23.57,25.32,25.32,,1004.72,0,0,0,0,0,0,0,0,0,0.11,28.53,63,20.8,30.63,11.28,1.13,0,1395,1,100,60
14/05/2016,04:00:00,4,May-16,Summer-2016,23.3,23.33,23.28,95.17,22.47,0,,0,0,,23.3,24.97,24.97,,1005.2,0,0,0,0,0,0,0,0,0,0.1,28.5,63,20.78,30.6,11.28,1.13,0,1402,1,100,60
14/05/2016,05:00:00,5,May-16,Summer-2016,23.27,23.28,23.2,96.17,22.6,0,,0,0,,23.27,25.02,25.02,,1005.43,0,0,0,0,0,0,0,0,0,0.1,28.42,63,20.72,30.52,11.29,1.13,0,1402,1,100,60
14/05/2016,06:00:00,6,May-16,Summer-2016,23.72,23.73,23.67,95,22.88,0.2,,0.14,0.88,,23.72,25.63,25.63,,1007.78,0,0,10.17,0.29,13.67,0,0,0,0,0.11,28.4,63.33,20.78,30.52,11.36,1.14,0,1402,1,100,60
14/05/2016,07:00:00,7,May-16,Summer-2016,24.48,24.48,24.25,93.5,23.35,0.07,,0.05,0.43,,24.48,26.68,26.68,,1008.6,0,0,111.17,3.19,126.5,0.38,0.02,0.45,0,0.13,28.4,64,20.92,30.52,11.49,1.14,0.03,1401,1,100,60
14/05/2016,08:00:00,8,May-16,Summer-2016,25.88,25.92,25.67,88.17,23.77,0.33,,0.23,1.47,,25.88,28.67,28.67,,1009.23,0,0,260.83,7.48,294.67,1.38,0.07,1.47,0,0.16,28.4,64,20.9,30.5,11.49,1.14,0.06,1402,1,100,60
14/05/2016,09:00:00,9,May-16,Summer-2016,27.32,27.4,27,82.83,24.17,0.57,,0.36,1.93,,27.32,31.03,31.03,,1009.48,0,0,424.5,12.17,467.83,2.83,0.15,3.05,0,0.19,28.4,64,20.9,30.5,11.49,1.14,0.09,1402,1,100,60
14/05/2016,10:00:00,10,May-16,Summer-2016,29.13,29.2,28.75,76.83,24.63,0.73,,0.45,2.15,,29.13,34.58,34.58,,1009.42,0,0,626.33,17.95,645.83,4.88,0.26,5.08,0,0.23,28.4,64,20.9,30.5,11.49,1.14,0.14,1399,1,100,60
14/05/2016,11:00:00,11,May-16,Summer-2016,30.4,30.48,30.15,73.33,25.08,0.82,,0.5,2.08,,30.4,36.75,36.75,,1009.07,0,0,732.83,21.01,770.17,6.23,0.33,6.62,0,0.25,28.4,64,20.95,30.55,11.49,1.14,0.16,1394,1,100,60
14/05/2016,12:00:00,12,May-16,Summer-2016,31.33,31.38,31.13,69.33,25.05,0.82,,0.5,2.77,,31.33,37.85,37.85,,1008.67,0,0,801.5,22.98,833,7.08,0.38,7.55,0,0.27,28.4,64.67,21.12,30.72,11.62,1.14,0.18,1398,1,100,60
14/05/2016,13:00:00,13,May-16,Summer-2016,32.13,32.22,31.97,69.33,25.8,0.9,,0.54,2.95,,32.13,40.43,40.43,,1008.13,0,0,792.17,22.71,865.17,6.53,0.35,7.43,0,0.29,28.4,65,21.2,30.8,11.69,1.14,0.17,1356,1,98.4,60
14/05/2016,14:00:00,14,May-16,Summer-2016,32.82,33,32.57,67,25.87,0.97,,0.58,3.35,,32.82,41.78,41.78,,1006.95,0,0,572.17,16.4,668.67,5.05,0.27,6.02,0,0.3,28.4,65,21.2,30.8,11.69,1.13,0.14,1400,1,100,60
14/05/2016,15:00:00,15,May-16,Summer-2016,33.2,33.38,33.03,67.17,26.27,0.73,,0.45,2.92,,33.2,43.03,43.03,,1006.18,0,0,451.83,12.95,534.17,3.4,0.18,3.9,0,0.31,28.42,65,21.22,30.82,11.69,1.13,0.11,1402,1,100,60
