DD/MM/YYYY,Time,Hours,Month,Season,wind speed,Wind direction ,Air temperature,Rain collection ,Solar radiation,Pressure,Humidity,Min Wind speed Min,Min Air temperature Min,Max Wind speed ,Max Air temperature ,Time,Date,ReceiveTime,ReceiveDate
01-03-18,12:00:13 AM,1,March-18,Summer-2018,0.7,63.6,22.9,0.0,0.0,1025.1,41.2,0.0,22.2,5.1,25.5,00:13.0,03-01-18,01:12.0,03-01-18
01-03-18,1:00:10 AM,2,March-18,Summer-2018,0.2,100.9,22.5,0.0,0.0,1024.4,37.9,0.0,22.1,4.3,22.9,00:10.0,03-01-18,01:09.0,03-01-18
01-03-18,2:00:15 AM,3,March-18,Summer-2018,0.2,84.9,20.8,0.0,0.0,1024.0,44.5,0.0,20.3,3.6,22.1,00:15.0,03-01-18,01:09.0,03-01-18
01-03-18,3:00:10 AM,4,March-18,Summer-2018,0.4,17.8,20.7,0.0,0.0,1023.5,41.7,0.0,20.5,5.1,21.3,00:10.0,03-01-18,01:10.0,03-01-18
01-03-18,4:00:15 AM,5,March-18,Summer-2018,0.3,69.2,21.7,0.0,0.0,1023.2,40.3,0.0,21.1,3.6,22.4,00:15.0,03-01-18,01:02.0,03-01-18
01-03-18,6:00:14 AM,6,March-18,Summer-2018,1.2,119.8,20.5,0.0,0.0,1023.3,45.5,0.0,20.0,8.7,21.4,00:14.0,03-01-18,01:14.0,03-01-18
01-03-18,7:00:13 AM,7,March-18,Summer-2018,2.4,26.0,19.5,0.0,0.6,1023.9,47.3,0.0,19.1,7.2,20.2,00:13.0,03-01-18,01:09.0,03-01-18
01-03-18,8:00:19 AM,8,March-18,Summer-2018,2.6,122.3,20.8,0.0,59.8,1025.0,43.3,0.0,20.2,5.8,21.8,00:19.0,03-01-18,00:54.0,03-01-18
01-03-18,9:00:18 AM,9,March-18,Summer-2018,2.0,47.1,25.4,0.0,250.3,1026.5,33.0,0.0,21.9,5.8,28.0,00:18.0,03-01-18,01:00.0,03-01-18
01-03-18,10:00:19 AM,10,March-18,Summer-2018,6.6,33.7,30.0,0.0,454.8,1028.0,24.4,0.0,28.1,11.6,31.2,00:19.0,03-01-18,01:20.0,03-01-18
01-03-18,11:00:19 AM,11,March-18,Summer-2018,9.3,55.7,31.9,0.0,627.7,1028.3,21.7,0.0,31.2,16.7,32.7,00:19.0,03-01-18,01:10.0,03-01-18
01-03-18,12:00:14 PM,12,March-18,Summer-2018,13.3,36.9,32.9,0.0,752.8,1027.7,20.4,6.5,32.5,19.6,33.4,00:14.0,03-01-18,01:11.0,03-01-18
01-03-18,1:00:13 PM,13,March-18,Summer-2018,10.1,28.6,33.7,0.0,798.0,1026.9,19.4,0.0,33.3,18.1,34.1,00:13.0,03-01-18,01:05.0,03-01-18
01-03-18,2:00:19 PM,14,March-18,Summer-2018,7.7,82.7,34.4,0.0,785.2,1026.2,17.5,0.0,33.9,15.9,35.0,00:19.0,03-01-18,01:16.0,03-01-18
01-03-18,3:00:14 PM,15,March-18,Summer-2018,8.1,258.1,35.3,0.0,618.8,1025.1,16.4,0.0,34.7,19.6,35.8,00:14.0,03-01-18,01:11.0,03-01-18
01-03-18,4:00:18 PM,16,March-18,Summer-2018,8.5,308.5,35.3,0.0,540.4,1024.0,16.5,0.0,34.7,18.1,35.6,00:18.0,03-01-18,01:20.0,03-01-18
01-03-18,5:00:13 PM,17,March-18,Summer-2018,8.6,276.7,35.0,0.0,333.4,1023.4,16.8,0.0,34.8,16.7,35.5,00:13.0,03-01-18,01:11.0,03-01-18
01-03-18,6:00:19 PM,18,March-18,Summer-2018,11.3,272.8,34.0,0.0,114.0,1023.2,17.8,6.5,33.3,18.1,35.0,00:19.0,03-01-18,01:16.0,03-01-18
01-03-18,7:00:14 PM,19,March-18,Summer-2018,6.6,278.3,32.0,0.0,13.5,1023.4,19.6,0.0,30.5,15.2,33.3,00:14.0,03-01-18,01:07.0,03-01-18
01-03-18,8:00:18 PM,20,March-18,Summer-2018,1.7,305.3,29.5,0.0,0.0,1023.6,21.3,0.0,28.8,4.3,30.5,00:18.0,03-01-18,01:16.0,03-01-18
01-03-18,9:00:10 PM,21,March-18,Summer-2018,6.4,240.8,29.4,0.0,0.0,1024.3,23.7,0.0,28.7,15.2,30.3,00:10.0,03-01-18,01:08.0,03-01-18
01-03-18,10:00:18 PM,22,March-18,Summer-2018,7.2,281.2,29.1,0.0,0.0,1025.1,26.2,4.3,28.3,11.6,30.2,00:18.0,03-01-18,01:21.0,03-01-18
01-03-18,11:00:12 PM,23,March-18,Summer-2018,3.3,293.9,27.7,0.0,0.0,1025.3,29.3,0.0,26.6,8.0,28.4,00:12.0,03-01-18,01:04.0,03-01-18
02-03-18,12:00:18 AM,24,March-18,Summer-2018,2.3,294.9,26.3,0.0,0.0,1025.0,33.3,0.0,25.2,5.8,26.7,00:18.0,03-02-18,01:21.0,03-02-18
02-03-18,1:00:19 AM,1,March-18,Summer-2018,0.0,294.9,23.8,0.0,0.0,1024.1,40.6,0.0,22.9,3.6,25.1,00:19.0,03-02-18,01:17.0,03-02-18
02-03-18,2:00:14 AM,2,March-18,Summer-2018,1.1,103.5,22.2,0.0,0.0,1023.9,48.7,0.0,20.9,5.8,23.0,00:14.0,03-02-18,01:08.0,03-02-18
02-03-18,3:00:18 AM,3,March-18,Summer-2018,0.5,0.0,21.2,0.0,0.0,1023.5,49.5,0.0,20.8,5.1,21.8,00:18.0,03-02-18,01:17.0,03-02-18
02-03-18,4:00:19 AM,4,March-18,Summer-2018,1.4,116.4,20.8,0.0,0.0,1023.2,50.3,0.0,20.4,5.1,21.5,00:19.0,03-02-18,01:06.0,03-02-18
02-03-18,5:00:19 AM,5,March-18,Summer-2018,1.0,97.7,20.7,0.0,0.0,1023.2,48.3,0.0,20.3,4.3,21.4,00:19.0,03-02-18,01:14.0,03-02-18
02-03-18,6:00:13 AM,6,March-18,Summer-2018,1.6,140.4,20.7,0.0,0.0,1023.5,53.2,0.0,19.8,6.5,21.4,00:13.0,03-02-18,01:06.0,03-02-18
02-03-18,7:00:13 AM,7,March-18,Summer-2018,1.5,271.0,22.1,0.0,0.7,1024.3,45.0,0.0,19.6,5.8,24.3,00:13.0,03-02-18,01:10.0,03-02-18
02-03-18,8:00:18 AM,8,March-18,Summer-2018,1.5,136.7,21.8,0.0,56.3,1025.5,46.3,0.0,21.2,5.8,23.4,00:18.0,03-02-18,01:13.0,03-02-18
02-03-18,9:00:13 AM,9,March-18,Summer-2018,0.0,72.6,25.0,0.0,243.5,1026.7,40.7,0.0,22.3,3.6,28.3,00:13.0,03-02-18,01:10.0,03-02-18
02-03-18,10:00:10 AM,10,March-18,Summer-2018,5.2,19.8,30.2,0.0,452.6,1028.1,27.1,0.0,28.4,11.6,31.1,00:10.0,03-02-18,01:07.0,03-02-18
02-03-18,11:00:18 AM,11,March-18,Summer-2018,7.9,351.5,31.8,0.0,626.3,1028.3,22.6,0.0,31.0,15.9,32.4,00:18.0,03-02-18,01:14.0,03-02-18
02-03-18,12:00:13 PM,12,March-18,Summer-2018,6.1,22.6,33.0,0.0,743.1,1028.0,20.0,0.0,32.4,15.2,33.6,00:13.0,03-02-18,01:11.0,03-02-18
02-03-18,1:00:10 PM,13,March-18,Summer-2018,7.3,345.0,33.6,0.0,794.7,1026.9,19.0,0.0,33.4,17.4,33.9,00:10.0,03-02-18,01:03.0,03-02-18
02-03-18,2:00:10 PM,14,March-18,Summer-2018,11.0,298.1,34.5,0.0,776.6,1025.8,18.3,0.0,33.9,19.6,35.1,00:10.0,03-02-18,01:08.0,03-02-18
02-03-18,3:00:18 PM,15,March-18,Summer-2018,16.2,275.9,34.7,0.0,686.3,1024.5,18.3,7.2,34.4,23.2,34.9,00:18.0,03-02-18,01:23.0,03-02-18
02-03-18,4:00:13 PM,16,March-18,Summer-2018,13.2,240.7,34.6,0.0,531.3,1023.5,18.1,3.6,34.3,21.7,34.9,00:13.0,03-02-18,01:14.0,03-02-18
