DD/MM/YYYY,Time,Hours,Month,Season,Air temperature,Min Air temperature,Max Air temperature,Rain_COllection,wind speed,Min Wind speed,Max Wind speed,Humidity,Pressure
02-05-16,9:00:00,9,May-16,Summer-2016,36.5,35.4,37.6,0,10.6668,5.0694003,18.105,24.5006,978.914
02-05-16,10:00:00,10,May-16,Summer-2016,38.5,37.6,39.3,0,9.7121,4.3452,15.932401,20.3467,979.5248
02-05-16,11:00:00,11,May-16,Summer-2016,40.4,39.3,41.2,0,6.5067,0,12.3114,17.0745,979.6524
02-05-16,12:00:00,12,May-16,Summer-2016,41.8,41.2,42.4,0,5.6607,0,15.2082,15.4566,978.956
02-05-16,13:00:00,13,May-16,Summer-2016,43.0,42.4,43.5,0,7.129,0,17.3808,14.9073,977.933
02-05-16,14:00:00,14,May-16,Summer-2016,43.8,43.2,44.5,0,6.9566,0,15.932401,13.994,976.9626
02-05-16,15:00:00,15,May-16,Summer-2016,44.0,43.5,44.5,0,6.7639,0,13.7598,13.6673,975.9502
02-05-16,16:00:00,16,May-16,Summer-2016,42.0,38.3,44.5,0,16.703,0,53.5908,15.0075,975.2864
02-05-16,17:00:00,17,May-16,Summer-2016,37.4,36.1,38.8,0.254,11.3357,0,28.968,24.0389,974.7452
02-05-16,18:00:00,18,May-16,Summer-2016,38.1,37.1,39.0,0,7.8232,0,17.3808,22.173,974.6384
02-05-16,19:00:00,19,May-16,Summer-2016,37.4,36.7,37.9,0,5.8642,0,13.035601,21.2459,975.336
02-05-16,20:00:00,20,May-16,Summer-2016,37.0,36.4,37.9,0,6.406,0,15.932401,21.6115,976.1954
02-05-16,21:00:00,21,May-16,Summer-2016,36.1,35.8,36.4,0,9.9018,0,18.105,22.0233,976.9204
02-05-16,22:00:00,22,May-16,Summer-2016,35.0,34.6,35.8,0,5.7735,0,13.035601,23.7789,977.6794
02-05-16,23:00:00,23,May-16,Summer-2016,33.5,32.5,34.8,0,1.3939,0,9.4146,26.9489,977.8464
03-05-16,0:00:00,24,May-16,Summer-2016,31.6,31.1,32.5,0,2.923,0,6.5178003,29.5549,977.5002
03-05-16,1:00:00,1,May-16,Summer-2016,30.8,30.2,31.4,0,1.6642,0,5.0694003,32.084,976.8608
03-05-16,2:00:00,2,May-16,Summer-2016,30.0,29.5,30.6,0,4.1102,0,10.138801,35.2962,976.482
03-05-16,3:00:00,3,May-16,Summer-2016,29.8,28.7,30.6,0,1.2238,0,7.242,36.5959,976.1344
03-05-16,4:00:00,4,May-16,Summer-2016,28.1,27.6,28.7,0,0.1594,0,5.0694003,38.6458,975.9578
03-05-16,5:00:00,5,May-16,Summer-2016,27.3,27.0,27.6,0,0.0202,0,3.621,42.9432,976.1652
03-05-16,6:00:00,6,May-16,Summer-2016,26.7,26.3,27.0,0,0,0,0,46.3667,976.5608
03-05-16,7:00:00,7,May-16,Summer-2016,26.9,26.3,28.4,0,0.3823,0,4.3452,46.5012,977.4516
03-05-16,8:00:00,8,May-16,Summer-2016,30.8,28.4,32.9,0,0.6064,0,5.7936,35.58,978.9068
03-05-16,9:00:00,9,May-16,Summer-2016,33.8,32.9,34.7,0,1.9961,0,8.6904,29.955,979.9092
03-05-16,10:00:00,10,May-16,Summer-2016,35.0,34.3,37.4,0,3.4929,0,9.4146,26.8586,980.018
03-05-16,11:00:00,11,May-16,Summer-2016,39.3,37.5,40.6,0,5.8228,0,13.7598,19.0888,979.8194
03-05-16,12:00:00,12,May-16,Summer-2016,41.0,40.6,41.4,0,5.5438,0,13.035601,16.8649,979.3822
03-05-16,13:00:00,13,May-16,Summer-2016,42.1,41.2,43.0,0,4.9586,0,13.7598,15.5368,978.3704
03-05-16,14:00:00,14,May-16,Summer-2016,43.5,42.7,44.4,0,5.4678,0,15.932401,14.1227,977.2824
03-05-16,15:00:00,15,May-16,Summer-2016,43.9,43.5,44.4,0,8.1215,0,15.932401,13.2863,976.0282
03-05-16,16:00:00,16,May-16,Summer-2016,44.0,43.6,44.2,0,9.1225,0,17.3808,12.674,975.0494
03-05-16,17:00:00,17,May-16,Summer-2016,,,,0,,,,,
03-05-16,18:00:00,18,May-16,Summer-2016,42.6,42.0,43.1,0,8.993,0,16.6566,12.6689,974.1416
03-05-16,19:00:00,19,May-16,Summer-2016,40.9,39.8,42.0,0,5.9135,0,14.484,13.6765,974.4478
03-05-16,20:00:00,20,May-16,Summer-2016,38.5,36.9,39.8,0,0.9804,0,5.7936,16.1227,975.1984
03-05-16,21:00:00,21,May-16,Summer-2016,35.8,34.8,36.9,0,13.234,0,23.1744,27.0378,976.2572
03-05-16,22:00:00,22,May-16,Summer-2016,34.3,33.9,34.8,0,12.6311,7.242,20.277601,31.8387,977.1186
03-05-16,23:00:00,23,May-16,Summer-2016,33.1,32.4,33.9,0,7.8337,0,15.2082,32.8234,977.6892
04-05-16,0:00:00,24,May-16,Summer-2016,31.9,31.2,32.4,0,5.0815,0,10.138801,34.5583,977.549
04-05-16,1:00:00,1,May-16,Summer-2016,31.0,30.9,31.2,0,6.5875,0,13.7598,36.8762,976.9624
04-05-16,2:00:00,2,May-16,Summer-2016,30.6,30.3,30.9,0,9.1987,5.7936,14.484,38.7247,976.3886
04-05-16,3:00:00,3,May-16,Summer-2016,30.4,30.3,30.5,0,10.4928,5.7936,17.3808,39.7466,976.071
